Name,Position,Birthdate,Height,Foot,GamesPlayed,Debut,Value,Year,Category,Age
Bryan Ramirez Ruano,Torwart,2008-02-06,-, ,1,04.05.2023,0.0,2023,28436,16
Gonçalo Fernandes Da Silva,Torwart,2008-03-29,-, ,1,02.05.2023,0.0,2023,28436,16
Noan Hirt,Torwart,2008-01-14,-, ,1,25.05.2023,0.0,2023,28436,16
Théodore Pizarro,Torwart,2008-06-13,"1,90m",rechts,1,23.05.2023,0.0,2023,28436,16
Gaspar Geiger,Abwehr,2008-04-18,-, ,2,02.05.2023,0.0,2023,28436,16
Thomas Heller,Abwehr,2008-02-19,-, ,2,02.05.2023,0.0,2023,28436,16
Aleksa Randelovic,Abwehr,2008-06-29,-, ,2,23.05.2023,0.0,2023,28436,16
Orges Serifi,Innenverteidiger,2008-05-22,-, ,2,02.05.2023,0.0,2023,28436,16
Dzan Sabotic,Innenverteidiger,2008-04-21,-,links,2,02.05.2023,0.0,2023,28436,16
Gil Zufferey,Innenverteidiger,2008-03-02,-, ,2,02.05.2023,0.0,2023,28436,16
Evan Gindrat,Innenverteidiger,2008-04-03,-, ,2,23.05.2023,0.0,2023,28436,16
Aleksandar Sekulic,Innenverteidiger,2008-04-16,-, ,2,23.05.2023,0.0,2023,28436,16
Leon Sylejmani,Innenverteidiger,2008-05-30,-, ,2,23.05.2023,0.0,2023,28436,16
Olivier Mambwa,Linker Verteidiger,2008-12-05,-, ,2,02.05.2023,0.0,2023,28436,15
Sven Spühler,Rechter Verteidiger,2008-01-28,-, ,2,02.05.2023,0.0,2023,28436,16
Gabriel Morisoli,Rechter Verteidiger,2008-07-17,-, ,2,02.05.2023,0.0,2023,28436,16
Nicolas Verga,Rechter Verteidiger,2008-01-20,-, ,2,23.05.2023,0.0,2023,28436,16
Niklas Beeler,Rechter Verteidiger,2008-07-15,-, ,2,23.05.2023,0.0,2023,28436,16
Bozhidar Hristov,Rechter Verteidiger,2008-09-11,-,rechts,2,23.05.2023,0.0,2023,28436,16
Nico Lazri,Defensives Mittelfeld,2008-01-29,-, ,2,02.05.2023,0.0,2023,28436,16
Leonit Ibraimov,Defensives Mittelfeld,2008-06-16,-, ,2,02.05.2023,0.0,2023,28436,16
Marco Correia,Mittelfeld,2008-02-24,-, ,2,02.05.2023,0.0,2023,28436,16
Emiliano Aguirre Muñoz,Mittelfeld,2008-01-14,-, ,2,02.05.2023,0.0,2023,28436,16
Sarjon Fetaj,Defensives Mittelfeld,2008-01-05,-, ,2,23.05.2023,0.0,2023,28436,16
Leon Miftari,Defensives Mittelfeld,2008-06-06,-, ,2,23.05.2023,0.0,2023,28436,16
Altin Mujota,Mittelfeld,2008-04-30,-, ,2,23.05.2023,0.0,2023,28436,16
Leon Ramadani,Mittelfeld,2008-09-24,-, ,2,23.05.2023,0.0,2023,28436,16
Denis Sahin,Defensives Mittelfeld,2008-06-23,-, ,2,23.05.2023,0.0,2023,28436,16
Adam Ilic,Zentrales Mittelfeld,2008-05-03,-, ,2,02.05.2023,0.0,2023,28436,16
Jill Stiel,Zentrales Mittelfeld,2008-05-01,-, ,2,02.05.2023,0.0,2023,28436,16
Giuliano Incognito,Zentrales Mittelfeld,2008-01-03,-, ,2,23.05.2023,0.0,2023,28436,16
Dominik Papic,Rechtes Mittelfeld,2008-05-14,-, ,2,23.05.2023,0.0,2023,28436,16
Yannis Odin,Linkes Mittelfeld,2008-08-19,-, ,2,23.05.2023,0.0,2023,28436,16
Marc-Alexis Agboton,Offensives Mittelfeld,2008-01-30,-, ,2,02.05.2023,0.0,2023,28436,16
Matteo Fanciulli,Offensives Mittelfeld,2008-01-07,-, ,2,02.05.2023,0.0,2023,28436,16
Mladen Mijajlovic,Offensives Mittelfeld,2008-03-16,-, ,2,23.05.2023,0.0,2023,28436,16
Muhamed Kurtishi,Linksaußen,2008-08-24,-, ,2,02.05.2023,0.0,2023,28436,16
Norbu Lhakpa,Linksaußen,2008-06-27,-, ,2,02.05.2023,0.0,2023,28436,16
Giacomo Koloto,Mittelstürmer,2008-01-31,-, ,2,02.05.2023,0.0,2023,28436,16
Josip Bralic,Mittelstürmer,2008-01-25,-, ,2,02.05.2023,0.0,2023,28436,16
Sandro Wyss,Mittelstürmer,2008-05-03,-, ,2,23.05.2023,0.0,2023,28436,16
Raffaele Caggiano,Sturm,2008-08-28,-, ,2,23.05.2023,0.0,2023,28436,16
Ilija Despotovic,Mittelstürmer,2008-01-10,-, ,2,23.05.2023,0.0,2023,28436,16
Ismael Flaig,Sturm,2008-08-30,-, ,2,23.05.2023,0.0,2023,28436,16
Jérôme Bieler,Torwart,2007-07-21,-, ,2,24.05.2022,0.0,2022,28436,17
Nico Wenger,Torwart,2007-07-08,-, ,1,03.05.2022,0.0,2022,28436,17
Elia Pecora,Torwart,2007-01-11,-, ,-,,0.0,2022,28436,17
Lionel Huwiler,Torwart,2007-02-17,"1,94m",rechts,1,05.05.2022,0.0,2022,28436,17
Til Büchler,Abwehr,2007-12-31,-, ,2,03.05.2022,0.0,2022,28436,16
Adrien Bernhardsgrütter,Abwehr,2007-03-20,-, ,1,24.05.2022,0.0,2022,28436,17
Marvin Akahomen,Innenverteidiger,2007-07-15,"1,86m",links,2,03.05.2022,0.0,2022,28436,17
Giuliano Bieri,Innenverteidiger,2007-08-29,-, ,2,24.05.2022,0.0,2022,28436,17
Eman Kospo,Innenverteidiger,2007-05-17,"1,91m",rechts,2,03.05.2022,0.0,2022,28436,17
Leart Salihu,Innenverteidiger,2007-02-14,-, ,1,05.05.2022,0.0,2022,28436,17
Neil Volken,Linker Verteidiger,2007-04-23,-,links,2,03.05.2022,0.0,2022,28436,17
Valentin Beck,Linker Verteidiger,2007-01-20,-, ,2,24.05.2022,0.0,2022,28436,17
Ryan Bucher,Linker Verteidiger,2007-03-13,-, ,1,25.05.2022,0.0,2022,28436,17
Romeo Philippin,Linker Verteidiger,2007-05-14,-,links,2,03.05.2022,0.0,2022,28436,17
Gabriel Bechinger,Rechter Verteidiger,2007-02-11,-, ,2,24.05.2022,0.0,2022,28436,17
Ruben Gomez,Rechter Verteidiger,2007-02-01,-,rechts,2,03.05.2022,0.0,2022,28436,17
Mathys Rau,Rechter Verteidiger,2007-01-03,-, ,1,05.05.2022,0.0,2022,28436,17
Simon Graber,Rechter Verteidiger,2007-03-19,-, ,2,24.05.2022,0.0,2022,28436,17
Jamiro Huber,Mittelfeld,2007-11-15,-, ,2,24.05.2022,0.0,2022,28436,16
Elio Rufener,Defensives Mittelfeld,2007-02-12,-,links,2,03.05.2022,0.0,2022,28436,17
Enis Nimoni,Defensives Mittelfeld,2007-01-14,-, ,2,24.05.2022,0.0,2022,28436,17
Alessio Burkhardt,Mittelfeld,2007-01-22,-, ,1,03.05.2022,0.0,2022,28436,17
Yusupha Touray,Defensives Mittelfeld,2007-04-13,-, ,2,24.05.2022,0.0,2022,28436,17
Ilija Maslarov,Defensives Mittelfeld,2007-01-02,"1,81m",rechts,2,03.05.2022,0.0,2022,28436,17
Eronis Haxhiu,Defensives Mittelfeld,2007-09-09,-, ,2,24.05.2022,0.0,2022,28436,17
Gjan Ajdin,Defensives Mittelfeld,2007-01-13,"1,86m",rechts,2,03.05.2022,0.0,2022,28436,17
Elmedin Schaller,Mittelfeld,2007-01-22,-, ,2,03.05.2022,0.0,2022,28436,17
Gabriel Marotta,Mittelfeld,2007-01-24,-, ,2,24.05.2022,0.0,2022,28436,17
Mio Zimmermann,Zentrales Mittelfeld,2007-08-08,-, ,2,24.05.2022,0.0,2022,28436,17
Eliano Guido,Zentrales Mittelfeld,2007-04-04,-, ,2,03.05.2022,0.0,2022,28436,17
Philipp Muff,Zentrales Mittelfeld,2007-05-12,-, ,2,24.05.2022,0.0,2022,28436,17
Evin Oektem,Linkes Mittelfeld,2007-01-25,-, ,2,24.05.2022,0.0,2022,28436,17
Cris Ilis,Offensives Mittelfeld,2007-04-02,-, ,2,03.05.2022,0.0,2022,28436,17
Eduardo Iezzi Penteado,Offensives Mittelfeld,2007-10-11,-, ,2,24.05.2022,0.0,2022,28436,17
Zidan Tairi,Offensives Mittelfeld,2007-04-17,"1,74m", ,2,03.05.2022,0.0,2022,28436,17
Christian Raffa,Linksaußen,2007-04-07,-, ,2,24.05.2022,0.0,2022,28436,17
Loris Macumi,Linksaußen,2007-01-04,-, ,2,24.05.2022,0.0,2022,28436,17
Agon Rexhaj,Rechtsaußen,2007-03-24,-,links,2,03.05.2022,0.0,2022,28436,17
Lias Sutter,Sturm,2007-01-29,-, ,2,24.05.2022,0.0,2022,28436,17
Dion Cakolli,Mittelstürmer,2007-06-07,"1,86m",rechts,2,03.05.2022,0.0,2022,28436,17
Melvin Hodza,Mittelstürmer,2007-05-15,-, ,2,24.05.2022,0.0,2022,28436,17
