Name,Birthdate,Age,Player ID,Position
Bryan Ramirez Ruano,06/02/2008,16,1115670,Torwart
Gonçalo Fernandes Da Silva,29/03/2008,16,1138256,Torwart
Noan Hirt,14/01/2008,16,1138276,Torwart
Théodore Pizarro,13/06/2008,16,1138284,Torwart
Gaspar Geiger,18/04/2008,16,1138251,Abwehr
Thomas Heller,19/02/2008,16,1138258,Abwehr
Aleksa Randelovic,29/06/2008,16,1138286,Abwehr
Orges Serifi,22/05/2008,16,1138249,Innenverteidiger
Dzan Sabotic,21/04/2008,16,1138254,Innenverteidiger
Gil Zufferey,02/03/2008,16,1138259,Innenverteidiger
Evan Gindrat,03/04/2008,16,1138275,Innenverteidiger
Aleksandar Sekulic,16/04/2008,16,1138288,Innenverteidiger
Leon Sylejmani,30/05/2008,16,1138289,Innenverteidiger
Olivier Mambwa,05/12/2008,15,1138260,Linker Verteidiger
Sven Spühler,28/01/2008,16,1138252,Rechter Verteidiger
Gabriel Morisoli,17/07/2008,16,1138257,Rechter Verteidiger
Nicolas Verga,20/01/2008,16,1138267,Rechter Verteidiger
Niklas Beeler,15/07/2008,16,1138269,Rechter Verteidiger
Bozhidar Hristov,11/09/2008,16,1138270,Rechter Verteidiger
Nico Lazri,29/01/2008,16,1138253,Defensives Mittelfeld
Leonit Ibraimov,16/06/2008,16,1138261,Defensives Mittelfeld
Marco Correia,24/02/2008,16,1138262,Mittelfeld
Emiliano Aguirre Muñoz,14/01/2008,16,1138263,Mittelfeld
Sarjon Fetaj,05/01/2008,16,1138273,Defensives Mittelfeld
Leon Miftari,06/06/2008,16,1138278,Defensives Mittelfeld
Altin Mujota,30/04/2008,16,1138281,Mittelfeld
Leon Ramadani,24/09/2008,16,1138285,Mittelfeld
Denis Sahin,23/06/2008,16,1138287,Defensives Mittelfeld
Adam Ilic,03/05/2008,16,1138248,Zentrales Mittelfeld
Jill Stiel,01/05/2008,16,1138250,Zentrales Mittelfeld
Giuliano Incognito,03/01/2008,16,1138277,Zentrales Mittelfeld
