Name,Position,Birthdate,Height,Foot,GamesPlayed,Debut,Value,Year,Category
Bryan Ramirez Ruano,Torwart,06.02.2008 (16),-, ,1,04.05.2023,-,2023,28436
Gonçalo Fernandes Da Silva,Torwart,29.03.2008 (16),-, ,1,02.05.2023,-,2023,28436
Noan Hirt,Torwart,14.01.2008 (16),-, ,1,25.05.2023,-,2023,28436
Théodore Pizarro,Torwart,13.06.2008 (16),"1,90m",rechts,1,23.05.2023,-,2023,28436
Gaspar Geiger,Abwehr,18.04.2008 (16),-, ,2,02.05.2023,-,2023,28436
Thomas Heller,Abwehr,19.02.2008 (16),-, ,2,02.05.2023,-,2023,28436
Aleksa Randelovic,Abwehr,29.06.2008 (16),-, ,2,23.05.2023,-,2023,28436
Orges Serifi,Innenverteidiger,22.05.2008 (16),-, ,2,02.05.2023,-,2023,28436
Dzan Sabotic,Innenverteidiger,21.04.2008 (16),-,links,2,02.05.2023,-,2023,28436
Gil Zufferey,Innenverteidiger,02.03.2008 (16),-, ,2,02.05.2023,-,2023,28436
Evan Gindrat,Innenverteidiger,03.04.2008 (16),-, ,2,23.05.2023,-,2023,28436
Aleksandar Sekulic,Innenverteidiger,16.04.2008 (16),-, ,2,23.05.2023,-,2023,28436
Leon Sylejmani,Innenverteidiger,30.05.2008 (16),-, ,2,23.05.2023,-,2023,28436
Olivier Mambwa,Linker Verteidiger,05.12.2008 (15),-, ,2,02.05.2023,-,2023,28436
Sven Spühler,Rechter Verteidiger,28.01.2008 (16),-, ,2,02.05.2023,-,2023,28436
Gabriel Morisoli,Rechter Verteidiger,17.07.2008 (15),-, ,2,02.05.2023,-,2023,28436
Nicolas Verga,Rechter Verteidiger,20.01.2008 (16),-, ,2,23.05.2023,-,2023,28436
Niklas Beeler,Rechter Verteidiger,15.07.2008 (15),-, ,2,23.05.2023,-,2023,28436
Bozhidar Hristov,Rechter Verteidiger,11.09.2008 (15),-,rechts,2,23.05.2023,-,2023,28436
Nico Lazri,Defensives Mittelfeld,29.01.2008 (16),-, ,2,02.05.2023,-,2023,28436
Leonit Ibraimov,Defensives Mittelfeld,16.06.2008 (16),-, ,2,02.05.2023,-,2023,28436
Marco Correia,Mittelfeld,24.02.2008 (16),-, ,2,02.05.2023,-,2023,28436
Emiliano Aguirre Muñoz,Mittelfeld,14.01.2008 (16),-, ,2,02.05.2023,-,2023,28436
Sarjon Fetaj,Defensives Mittelfeld,05.01.2008 (16),-, ,2,23.05.2023,-,2023,28436
Leon Miftari,Defensives Mittelfeld,06.06.2008 (16),-, ,2,23.05.2023,-,2023,28436
Altin Mujota,Mittelfeld,30.04.2008 (16),-, ,2,23.05.2023,-,2023,28436
Leon Ramadani,Mittelfeld,24.09.2008 (15),-, ,2,23.05.2023,-,2023,28436
Denis Sahin,Defensives Mittelfeld,23.06.2008 (16),-, ,2,23.05.2023,-,2023,28436
Adam Ilic,Zentrales Mittelfeld,03.05.2008 (16),-, ,2,02.05.2023,-,2023,28436
Jill Stiel,Zentrales Mittelfeld,01.05.2008 (16),-, ,2,02.05.2023,-,2023,28436
Giuliano Incognito,Zentrales Mittelfeld,03.01.2008 (16),-, ,2,23.05.2023,-,2023,28436
Dominik Papic,Rechtes Mittelfeld,14.05.2008 (16),-, ,2,23.05.2023,-,2023,28436
Yannis Odin,Linkes Mittelfeld,19.08.2008 (15),-, ,2,23.05.2023,-,2023,28436
Marc-Alexis Agboton,Offensives Mittelfeld,30.01.2008 (16),-, ,2,02.05.2023,-,2023,28436
Matteo Fanciulli,Offensives Mittelfeld,07.01.2008 (16),-, ,2,02.05.2023,-,2023,28436
Mladen Mijajlovic,Offensives Mittelfeld,16.03.2008 (16),-, ,2,23.05.2023,-,2023,28436
Muhamed Kurtishi,Linksaußen,24.08.2008 (15),-, ,2,02.05.2023,-,2023,28436
Norbu Lhakpa,Linksaußen,27.06.2008 (16),-, ,2,02.05.2023,-,2023,28436
Giacomo Koloto,Mittelstürmer,31.01.2008 (16),-, ,2,02.05.2023,-,2023,28436
Josip Bralic,Mittelstürmer,25.01.2008 (16),-, ,2,02.05.2023,-,2023,28436
Sandro Wyss,Mittelstürmer,03.05.2008 (16),-, ,2,23.05.2023,-,2023,28436
Raffaele Caggiano,Sturm,28.08.2008 (15),-, ,2,23.05.2023,-,2023,28436
Ilija Despotovic,Mittelstürmer,10.01.2008 (16),-, ,2,23.05.2023,-,2023,28436
Ismael Flaig,Sturm,30.08.2008 (15),-, ,2,23.05.2023,-,2023,28436
Jérôme Bieler,Torwart,21.07.2007 (15),-, ,2,24.05.2022,-,2022,28436
Nico Wenger,Torwart,08.07.2007 (15),-, ,1,03.05.2022,-,2022,28436
