Player ID,National Team,Debut Date,Games Played,Goals Scored
1115670,Schweiz U15,04.05.2023,1,-
1138256,Schweiz U16,22.09.2023,1,-
1138256,Schweiz U15,02.05.2023,1,-
1138276,Schweiz U16,19.09.2023,4,-
1138276,Schweiz U15,25.05.2023,1,-
1138284,Schweiz U17,06.09.2024,4,-
1138284,Schweiz U15,23.05.2023,1,-
1138251,Schweiz U15,02.05.2023,2,-
1138258,Schweiz U16,02.11.2023,1,-
1138258,Schweiz U15,02.05.2023,2,-
1138286,Schweiz U15,23.05.2023,2,-
1138249,Schweiz U16,31.10.2023,4,-
1138249,Schweiz U15,02.05.2023,2,-
1138254,Schweiz U17,03.09.2024,2,-
1138254,Schweiz U16,22.09.2023,6,-
1138254,Schweiz U15,02.05.2023,2,-
1138259,Schweiz U17,03.09.2024,6,-
1138259,Schweiz U16,31.10.2023,7,-
1138259,Schweiz U15,02.05.2023,2,-
1138275,Schweiz U16,28.11.2023,2,-
1138275,Schweiz U15,23.05.2023,2,-
1138288,Schweiz U17,03.09.2024,4,-
1138288,Schweiz U16,12.03.2024,3,-
1138288,Schweiz U15,23.05.2023,2,-
1138289,Schweiz U16,19.09.2023,3,-
1138289,Schweiz U15,23.05.2023,2,-
1138260,Schweiz U17,03.09.2024,6,-
1138260,Schweiz U16,19.09.2023,8,-
1138260,Schweiz U15,02.05.2023,2,-
1138252,Schweiz U16,12.03.2024,1,-
1138252,Schweiz U15,02.05.2023,2,-
1138257,Schweiz U17,03.09.2024,5,-
1138257,Schweiz U16,19.09.2023,10,-
1138257,Schweiz U15,02.05.2023,2,-
1138267,Schweiz U16,28.11.2023,4,-
1138267,Schweiz U15,23.05.2023,2,-
1138269,Schweiz U15,23.05.2023,2,-
1138270,Bulgarien U17,01.11.2024,2,-
1138270,Schweiz U16,28.11.2023,4,-
1138270,Schweiz U15,23.05.2023,2,1
1138253,Schweiz U17,03.09.2024,5,-
1138253,Schweiz U16,19.09.2023,9,1
1138253,Schweiz U15,02.05.2023,2,-
1138261,Schweiz U17,03.09.2024,6,1
1138261,Schweiz U16,12.03.2024,5,-
1138261,Schweiz U15,02.05.2023,2,-
1138262,Schweiz U15,02.05.2023,2,-
1138263,Schweiz U16,19.09.2023,5,-
1138263,Schweiz U15,02.05.2023,2,-
1138273,Schweiz U17,03.09.2024,6,-
1138273,Schweiz U16,12.03.2024,2,1
1138273,Schweiz U15,23.05.2023,2,-
1138278,Schweiz U16,30.11.2023,1,-
1138278,Schweiz U15,23.05.2023,2,-
1138281,Schweiz U15,23.05.2023,2,1
1138285,Schweiz U15,23.05.2023,2,-
1138287,Schweiz U16,28.11.2023,4,-
1138287,Schweiz U15,23.05.2023,2,-
1138248,Schweiz U17,03.09.2024,4,-
1138248,Schweiz U16,31.10.2023,5,-
1138248,Schweiz U15,02.05.2023,2,-
1138250,Schweiz U17,23.10.2024,3,-
1138250,Schweiz U16,19.09.2023,8,1
1138250,Schweiz U15,02.05.2023,2,-
1138277,Schweiz U15,23.05.2023,2,-
1138283,Schweiz U16,28.11.2023,4,2
1138283,Schweiz U15,23.05.2023,2,-
1138282,Schweiz U16,28.11.2023,4,-
1138282,Schweiz U15,23.05.2023,2,-
1138245,Schweiz U17,03.09.2024,3,1
1138245,Schweiz U16,19.09.2023,3,-
1138245,Schweiz U15,02.05.2023,2,-
1138264,Schweiz U16,19.09.2023,5,-
1138264,Schweiz U15,02.05.2023,2,-
1138280,Schweiz U17,03.09.2024,6,1
1138280,Schweiz U16,28.11.2023,7,-
1138280,Schweiz U15,23.05.2023,2,-
1138246,Schweiz U15,02.05.2023,2,1
1138247,Schweiz U17,03.09.2024,2,-
1138247,Schweiz U16,19.09.2023,8,2
1138247,Schweiz U15,02.05.2023,2,1
1138255,Schweiz U17,03.09.2024,3,1
1138255,Schweiz U16,19.09.2023,6,3
1138255,Schweiz U15,02.05.2023,2,-
1138265,Schweiz U17,03.09.2024,6,3
1138265,Schweiz U16,19.09.2023,7,5
1138265,Schweiz U15,02.05.2023,2,-
1138268,Schweiz U16,28.11.2023,6,5
1138268,Schweiz U15,23.05.2023,2,1
1138271,Schweiz U15,23.05.2023,2,1
1138272,Schweiz U17,23.10.2024,2,1
1138272,Schweiz U16,11.06.2024,2,1
1138272,Schweiz U15,23.05.2023,2,1
1138274,Schweiz U15,23.05.2023,2,-
1015754,Schweiz U17,17.08.2023,4,-
1015754,Schweiz U16,17.02.2023,3,-
1015754,Schweiz U15,24.05.2022,2,-
1015820,Schweiz U15,03.05.2022,1,-
1015768,Schweiz U17,-,-,-
1015768,Schweiz U16,15.09.2022,5,-
1015768,Schweiz U15,-,-,-
1015811,Schweiz U18,04.09.2024,2,-
1015811,Schweiz U17,15.08.2023,10,-
1015811,Schweiz U16,13.09.2022,3,-
1015811,Schweiz U15,05.05.2022,1,-
1015821,Schweiz U15,03.05.2022,2,-
980556,Schweiz U15,24.05.2022,1,-
1015823,Schweiz U19,06.09.2024,4,-
1015823,Schweiz U17,18.05.2023,14,1
1015823,Schweiz U16,15.09.2022,8,-
1015823,Schweiz U15,03.05.2022,2,-
1015755,Schweiz U15,24.05.2022,2,-
1015822,Schweiz U18,04.09.2024,5,-
1015822,Schweiz U17,12.09.2023,6,1
1015822,Schweiz U16,13.09.2022,12,1
1015822,Schweiz U15,03.05.2022,2,-
1015816,Kosovo U17,03.11.2023,3,-
1015816,Schweiz U15,05.05.2022,1,-
1015824,Schweiz U18,04.09.2024,5,-
1015824,Schweiz U17,12.09.2023,9,-
1015824,Schweiz U16,13.09.2022,12,-
1015824,Schweiz U15,03.05.2022,2,-
1015753,Schweiz U15,24.05.2022,2,-
1015756,Schweiz U15,25.05.2022,1,-
1015814,Schweiz U17,15.08.2023,3,-
