Player ID,Season,Competition,Club,Games Played,insgesamt,Goals,Assists,Own Goals,Substituted On,Substituted Off,Yellow Cards,Yellow Red,Red Cards,Penalty Goals,Minutes per Goal,Goals Conceded,Clean Sheets,Played Minutes,Type
1115670,24-25,U17 Elite League,Servette FC U17,3,-,0,0,-,-,-,1,-,-,0,0,4,1,270,Nationale Ligen
1115670,23-24,U17 Elite Platzierungsspiele,Servette FC U17,1,-,0,0,-,-,-,-,-,-,0,0,3,-,90,Nationale Ligen
1115670,23-24,U17 Elite League,Servette FC U17,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,Nationale Ligen
1115670,22-23,U17 Elite League,Servette FC U17,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,Nationale Ligen
1138256,24-25,U19 Elite League,Grasshopper Club Zürich U19,6,-,0,0,-,-,-,-,-,-,0,0,19,1,540,Nationale Ligen
1138256,24-25,U17 Elite League,Grasshopper Club Zürich U17,1,-,0,0,-,-,-,-,-,-,0,0,-,1,90,Nationale Ligen
1138256,23-24,U19 Elite League,Grasshopper Club Zürich U19,3,-,0,0,-,-,-,-,-,-,0,0,3,1,270,Nationale Ligen
1138256,23-24,U17 Elite League,Grasshopper Club Zürich U17,15,-,0,0,-,-,-,-,-,-,0,0,36,-,1.350,Nationale Ligen
1138256,24-25,Schweizer Cup U19,Grasshopper Club Zürich U19,1,-,0,0,-,-,-,-,-,-,0,0,1,-,90,Nationale Pokalwettbewerbe
1138256,23-24,Schweizer Cup U17,Grasshopper Club Zürich U17,3,-,0,0,-,-,-,-,-,-,0,0,6,-,270,Nationale Pokalwettbewerbe
1138276,24-25,U17 Elite League,Grasshopper Club Zürich U17,7,-,0,0,-,-,-,-,-,-,0,0,13,2,630,Nationale Ligen
1138276,23-24,U17 Elite Platzierungsspiele,Grasshopper Club Zürich U17,1,-,0,0,-,-,-,-,-,-,0,0,3,-,90,Nationale Ligen
1138276,23-24,U17 Elite League,Grasshopper Club Zürich U17,2,-,0,0,-,-,-,-,-,-,0,0,5,-,180,Nationale Ligen
1138276,23-24,U19 Elite League,Grasshopper Club Zürich U19,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,Nationale Ligen
1138276,24-25,Schweizer Cup U17,Grasshopper Club Zürich U17,1,-,0,0,-,-,-,-,-,-,0,0,1,-,90,Nationale Pokalwettbewerbe
1138284,24-25,U19 Elite League,FC Lausanne-Sport U19,7,-,0,0,-,-,-,1,-,-,0,0,11,-,630,Nationale Ligen
1138284,23-24,U17 Elite Playoffs,FC Lausanne-Sport U17,2,-,0,0,-,-,-,1,-,-,0,0,2,1,180,Nationale Ligen
1138284,23-24,U17 Elite League,FC Lausanne-Sport U17,10,-,0,0,-,-,1,1,-,-,0,0,13,3,855,Nationale Ligen
1138284,23-24,U19 Elite League,FC Lausanne-Sport U19,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,Nationale Ligen
1138284,23-24,1. Liga Gr. 1,FC Lausanne-Sport II,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,Nationale Ligen
1138284,22-23,U17 Elite League,Team Vaud U17,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,Nationale Ligen
1138284,24-25,Schweizer Cup U19,FC Lausanne-Sport U19,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,Nationale Pokalwettbewerbe
1138284,23-24,Schweizer Cup U17,FC Lausanne-Sport U17,2,-,0,0,-,-,-,1,-,-,0,0,3,-,180,Nationale Pokalwettbewerbe
1138251,24-25,U17 Elite League,BSC Young Boys U17,4,0,-,-,-,1,2,1,-,-,-,-,0,0,209,Nationale Ligen
1138251,23-24,U17 Elite Playoffs,BSC Young Boys U17,-,0,-,-,-,-,-,-,-,-,-,-,0,0,-,Nationale Ligen
