Player ID,National Team ID,Position,Season,Competition,Games Played,Goals,Assists,Own Goals,Substituted On,Substituted Off,Yellow Cards,Yellow Red,Red Cards,Penalty Goals,Minutes per Goal,Goals Conceded,Clean Sheets,Played Minutes
1115670,28436,Torwart,Insgesamt :,,1,-,-,-,-,-,-,-,-,-,-,-,1,90
1115670,28436,Torwart,,U15-Freundschaftsspiele,1,-,-,-,-,-,-,-,-,-,-,-,1,90
1138256,28155,Torwart,Insgesamt :,,1,-,-,-,-,-,-,-,-,-,-,1,-,90
1138256,28155,Torwart,,U16-Freundschaftsspiele,1,-,-,-,-,-,-,-,-,-,-,1,-,90
1138256,28436,Torwart,Insgesamt :,,1,-,-,-,-,-,-,-,-,-,-,-,1,90
1138256,28436,Torwart,,U15-Freundschaftsspiele,1,-,-,-,-,-,-,-,-,-,-,-,1,90
1138276,28155,Torwart,Insgesamt :,,4,-,-,-,-,-,-,-,-,-,-,7,1,360
1138276,28155,Torwart,,U16-Freundschaftsspiele,4,-,-,-,-,-,-,-,-,-,-,7,1,360
1138276,28436,Torwart,Insgesamt :,,1,-,-,-,-,-,-,-,-,-,-,2,-,90
1138276,28436,Torwart,,U15-Freundschaftsspiele,1,-,-,-,-,-,-,-,-,-,-,2,-,90
1138284,23140,Torwart,Insgesamt :,,4,-,-,-,-,-,-,-,-,-,-,7,2,360
1138284,23140,Torwart,,U17-Freundschaftsspiele,2,-,-,-,-,-,-,-,-,-,-,7,-,180
1138284,23140,Torwart,,U17-EM-Quali,2,-,-,-,-,-,-,-,-,-,-,-,2,180
1138284,28436,Torwart,Insgesamt :,,1,-,-,-,-,-,-,-,-,-,-,1,-,90
1138284,28436,Torwart,,U15-Freundschaftsspiele,1,-,-,-,-,-,-,-,-,-,-,1,-,90
1138251,28436,Abwehr,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138251,28436,Abwehr,,U15-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138258,28155,Abwehr,Insgesamt :,,1,-,-,-,-,1,-,-,-,-,-,-,-,73
1138258,28155,Abwehr,,U16-Freundschaftsspiele,1,-,-,-,-,1,-,-,-,-,-,-,-,73
1138258,28436,Abwehr,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138258,28436,Abwehr,,U15-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138286,28436,Abwehr,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,91
1138286,28436,Abwehr,,U15-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,91
1138249,28155,Innenverteidiger,Insgesamt :,,4,-,-,-,1,3,-,-,-,-,-,-,-,250
1138249,28155,Innenverteidiger,,U16-Freundschaftsspiele,4,-,-,-,1,3,-,-,-,-,-,-,-,250
1138249,28436,Innenverteidiger,Insgesamt :,,2,-,-,-,1,-,-,-,-,-,-,-,-,102
1138249,28436,Innenverteidiger,,U15-Freundschaftsspiele,2,-,-,-,1,-,-,-,-,-,-,-,-,102
1138254,23140,Innenverteidiger,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,74
1138254,23140,Innenverteidiger,,U17-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,74
1138254,28155,Innenverteidiger,Insgesamt :,,6,-,-,-,2,2,1,-,-,-,-,-,-,360
1138254,28155,Innenverteidiger,,U16-Freundschaftsspiele,6,-,-,-,2,2,1,-,-,-,-,-,-,360
1138254,28436,Innenverteidiger,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138254,28436,Innenverteidiger,,U15-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138259,23140,Innenverteidiger,Insgesamt :,,6,-,1,-,1,2,-,-,-,-,-,-,-,455
1138259,23140,Innenverteidiger,,U17-Freundschaftsspiele,3,-,1,-,1,1,-,-,-,-,-,-,-,196
1138259,23140,Innenverteidiger,,U17-EM-Quali,3,-,-,-,-,1,-,-,-,-,-,-,-,259
1138259,28155,Innenverteidiger,Insgesamt :,,7,-,-,-,2,2,-,-,-,-,-,-,-,448
1138259,28155,Innenverteidiger,,U16-Freundschaftsspiele,7,-,-,-,2,2,-,-,-,-,-,-,-,448
1138259,28436,Innenverteidiger,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138259,28436,Innenverteidiger,,U15-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138275,28155,Innenverteidiger,Insgesamt :,,2,-,-,-,1,-,-,-,-,-,-,-,-,101
1138275,28155,Innenverteidiger,,U16-Freundschaftsspiele,2,-,-,-,1,-,-,-,-,-,-,-,-,101
1138275,28436,Innenverteidiger,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,55
1138275,28436,Innenverteidiger,,U15-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,55
1138288,23140,Innenverteidiger,Insgesamt :,,4,-,-,-,-,2,-,-,-,-,-,-,-,299
1138288,23140,Innenverteidiger,,U17-Freundschaftsspiele,3,-,-,-,-,2,-,-,-,-,-,-,-,209
1138288,23140,Innenverteidiger,,U17-EM-Quali,1,-,-,-,-,-,-,-,-,-,-,-,-,90
1138288,28155,Innenverteidiger,Insgesamt :,,3,-,-,-,1,2,-,-,-,-,-,-,-,150
1138288,28155,Innenverteidiger,,U16-Freundschaftsspiele,3,-,-,-,1,2,-,-,-,-,-,-,-,150
1138288,28436,Innenverteidiger,Insgesamt :,,2,-,-,-,1,1,1,-,-,-,-,-,-,100
1138288,28436,Innenverteidiger,,U15-Freundschaftsspiele,2,-,-,-,1,1,1,-,-,-,-,-,-,100
1138289,28155,Innenverteidiger,Insgesamt :,,3,-,-,-,1,1,-,-,-,-,-,-,-,145
1138289,28155,Innenverteidiger,,U16-Freundschaftsspiele,3,-,-,-,1,1,-,-,-,-,-,-,-,145
1138289,28436,Innenverteidiger,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,125
1138289,28436,Innenverteidiger,,U15-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,125
1138260,23140,Linker Verteidiger,Insgesamt :,,6,-,2,-,1,1,-,-,-,-,-,-,-,485
1138260,23140,Linker Verteidiger,,U17-Freundschaftsspiele,3,-,1,-,1,1,-,-,-,-,-,-,-,215
1138260,23140,Linker Verteidiger,,U17-EM-Quali,3,-,1,-,-,-,-,-,-,-,-,-,-,270
1138260,28155,Linker Verteidiger,Insgesamt :,,8,-,-,-,3,1,-,-,-,-,-,-,-,527
1138260,28155,Linker Verteidiger,,U16-Freundschaftsspiele,8,-,-,-,3,1,-,-,-,-,-,-,-,527
1138260,28436,Linker Verteidiger,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138260,28436,Linker Verteidiger,,U15-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138252,28155,Rechter Verteidiger,Insgesamt :,,1,-,-,-,-,1,-,-,-,-,-,-,-,70
1138252,28155,Rechter Verteidiger,,U16-Freundschaftsspiele,1,-,-,-,-,1,-,-,-,-,-,-,-,70
1138252,28436,Rechter Verteidiger,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138252,28436,Rechter Verteidiger,,U15-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138257,23140,Rechter Verteidiger,Insgesamt :,,5,-,-,-,1,2,1,-,-,-,-,-,-,334
1138257,23140,Rechter Verteidiger,,U17-Freundschaftsspiele,3,-,-,-,1,2,1,-,-,-,-,-,-,154
1138257,23140,Rechter Verteidiger,,U17-EM-Quali,2,-,-,-,-,-,-,-,-,-,-,-,-,180
1138257,28155,Rechter Verteidiger,Insgesamt :,,10,-,-,-,3,2,-,-,-,-,-,-,-,626
1138257,28155,Rechter Verteidiger,,U16-Freundschaftsspiele,10,-,-,-,3,2,-,-,-,-,-,-,-,626
1138257,28436,Rechter Verteidiger,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138257,28436,Rechter Verteidiger,,U15-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138267,28155,Rechter Verteidiger,Insgesamt :,,4,-,-,-,2,2,-,-,-,-,-,-,-,239
1138267,28155,Rechter Verteidiger,,U16-Freundschaftsspiele,4,-,-,-,2,2,-,-,-,-,-,-,-,239
1138267,28436,Rechter Verteidiger,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,89
1138267,28436,Rechter Verteidiger,,U15-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,89
1138269,28436,Rechter Verteidiger,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,91
1138269,28436,Rechter Verteidiger,,U15-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,91
1138270,35746,Rechter Verteidiger,Insgesamt :,,2,-,-,-,-,2,-,-,-,-,-,-,-,159
1138270,35746,Rechter Verteidiger,,U17-EM-Quali,2,-,-,-,-,2,-,-,-,-,-,-,-,159
1138270,28155,Rechter Verteidiger,Insgesamt :,,4,-,-,-,2,2,1,-,-,-,-,-,-,189
1138270,28155,Rechter Verteidiger,,U16-Freundschaftsspiele,4,-,-,-,2,2,1,-,-,-,-,-,-,189
1138270,28436,Rechter Verteidiger,Insgesamt :,,2,1,-,-,1,1,-,-,-,-,90',-,-,90
1138270,28436,Rechter Verteidiger,,U15-Freundschaftsspiele,2,1,-,-,1,1,-,-,-,-,90',-,-,90
1138253,23140,Defensives Mittelfeld,Insgesamt :,,5,-,-,-,1,1,1,-,-,-,-,-,-,395
1138253,23140,Defensives Mittelfeld,,U17-Freundschaftsspiele,3,-,-,-,1,1,-,-,-,-,-,-,-,215
1138253,23140,Defensives Mittelfeld,,U17-EM-Quali,2,-,-,-,-,-,1,-,-,-,-,-,-,180
1138253,28155,Defensives Mittelfeld,Insgesamt :,,9,1,-,-,4,1,-,-,-,1,537',-,-,537
1138253,28155,Defensives Mittelfeld,,U16-Freundschaftsspiele,9,1,-,-,4,1,-,-,-,1,537',-,-,537
1138253,28436,Defensives Mittelfeld,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,96
1138253,28436,Defensives Mittelfeld,,U15-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,96
1138261,23140,Defensives Mittelfeld,Insgesamt :,,6,1,-,-,-,4,1,-,-,-,409',-,-,409
1138261,23140,Defensives Mittelfeld,,U17-Freundschaftsspiele,3,1,-,-,-,2,1,-,-,-,180',-,-,180
1138261,23140,Defensives Mittelfeld,,U17-EM-Quali,3,-,-,-,-,2,-,-,-,-,-,-,-,229
1138261,28155,Defensives Mittelfeld,Insgesamt :,,5,-,-,-,3,2,-,-,-,-,-,-,-,228
1138261,28155,Defensives Mittelfeld,,U16-Freundschaftsspiele,5,-,-,-,3,2,-,-,-,-,-,-,-,228
1138261,28436,Defensives Mittelfeld,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,84
1138261,28436,Defensives Mittelfeld,,U15-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,84
1138262,28436,Mittelfeld,Insgesamt :,,2,-,-,-,1,2,-,-,-,-,-,-,-,93
1138262,28436,Mittelfeld,,U15-Freundschaftsspiele,2,-,-,-,1,2,-,-,-,-,-,-,-,93
1138263,28155,Mittelfeld,Insgesamt :,,5,-,-,-,3,3,-,-,-,-,-,-,-,197
1138263,28155,Mittelfeld,,U16-Freundschaftsspiele,5,-,-,-,3,3,-,-,-,-,-,-,-,197
1138263,28436,Mittelfeld,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138263,28436,Mittelfeld,,U15-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138273,23140,Defensives Mittelfeld,Insgesamt :,,6,-,-,-,4,1,-,-,-,-,-,-,-,231
1138273,23140,Defensives Mittelfeld,,U17-Freundschaftsspiele,3,-,-,-,2,1,-,-,-,-,-,-,-,100
1138273,23140,Defensives Mittelfeld,,U17-EM-Quali,3,-,-,-,2,-,-,-,-,-,-,-,-,131
1138273,28155,Defensives Mittelfeld,Insgesamt :,,2,1,-,-,1,1,-,-,-,-,85',-,-,85
1138273,28155,Defensives Mittelfeld,,U16-Freundschaftsspiele,2,1,-,-,1,1,-,-,-,-,85',-,-,85
1138273,28436,Defensives Mittelfeld,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,91
1138273,28436,Defensives Mittelfeld,,U15-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,91
1138278,28155,Defensives Mittelfeld,Insgesamt :,,1,-,-,-,-,1,-,-,-,-,-,-,-,61
1138278,28155,Defensives Mittelfeld,,U16-Freundschaftsspiele,1,-,-,-,-,1,-,-,-,-,-,-,-,61
1138278,28436,Defensives Mittelfeld,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138278,28436,Defensives Mittelfeld,,U15-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138281,28436,Mittelfeld,Insgesamt :,,2,1,-,-,1,1,-,-,-,1,89',-,-,89
1138281,28436,Mittelfeld,,U15-Freundschaftsspiele,2,1,-,-,1,1,-,-,-,1,89',-,-,89
1138285,28436,Mittelfeld,Insgesamt :,,2,-,-,-,1,1,1,-,-,-,-,-,-,80
1138285,28436,Mittelfeld,,U15-Freundschaftsspiele,2,-,-,-,1,1,1,-,-,-,-,-,-,80
1138287,28155,Defensives Mittelfeld,Insgesamt :,,4,-,-,-,2,1,-,-,-,-,-,-,-,250
1138287,28155,Defensives Mittelfeld,,U16-Freundschaftsspiele,4,-,-,-,2,1,-,-,-,-,-,-,-,250
1138287,28436,Defensives Mittelfeld,Insgesamt :,,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138287,28436,Defensives Mittelfeld,,U15-Freundschaftsspiele,2,-,-,-,1,1,-,-,-,-,-,-,-,90
1138248,23140,Zentrales Mittelfeld,Insgesamt :,,4,-,-,-,2,2,-,-,-,-,-,-,-,159
1138248,23140,Zentrales Mittelfeld,,U17-Freundschaftsspiele,3,-,-,-,1,2,-,-,-,-,-,-,-,135
1138248,23140,Zentrales Mittelfeld,,U17-EM-Quali,1,-,-,-,1,-,-,-,-,-,-,-,-,24
